開始時間 - 秒.ミリ秒	終了時間 - 秒.ミリ秒	発話	形態素分析	グロス	共通語訳	注
1.39	10.99	[mu]kasi mukasina[a]jo [ko]no [na]ada[ni [uɴto] udeno jo[i] maŋemonosi[ŋa] itoodaŋeno[o]ni.	mukasi mukasi=naajo kono naada=ni uɴto ude=no jo-i maŋemonosi=ŋa i-too=da=ŋenoo=ni	昔 昔=IJP この 奈良田=DAT うんと 腕=GEN 良い-NPST 曲げ物師=NOM 居る-PST=COP.NPST=HS=SFP	昔　昔ね　この　奈良田に　うんと　腕の　良い　曲げ物師が　いたのだそうだよ。	
13.22	17.78	kooiQte iebane sokoi ainoteŋa irebane maaQcje juu.			このように　言えばね、そこに　合いの手が　いればね、「マー」って　言う。	収録者に対する解説であり、東京方言的なアクセントで発話されているため、音調記号や形態素境界・グロスは付さない。調査者の「マーッテ」という声が重なっている。
18.9	24.24	sono] [ma]ŋemonosi[ŋa] u[ɴ]to [u]deno jo[i] [ma]ŋemonosi[ŋa] itoodaŋeno[o]ni.	sono maŋemonosi=ŋa uɴto ude=no jo-i maŋemonosi=ŋa i-too=da=ŋenoo=ni	その 曲げ物師=NOM うんと 腕=GEN 良い-NPST 曲げ物師=NOM 居る-PST=COP.NPST=HS=SFP	その　曲げ物師が　うんと　腕の　良い　曲げ物師が　いたのだそうだよ。	
24.56	33.62	so[o]sicja[a] nata[a] ho]re [ja]kehata[o] kokozja[a] sitee[ru]doo[de] jakihata[a] site [ka]seŋanai[ba]doodoo[de	soosicjaa nataa hore jakehata=o koko=zjaa si-tee-ru=doode jakihataa si-te kaseŋa-naiba=doo=doode	そして 夏.TOP ATTN 焼畑=ACC ここ=INS.TOP する-CONT-NPST=CSL 焼畑.ACC する-SEQ 稼ぐ-NEG.HYP=COP.NPST=CSL	そして　夏は　ほら　焼畑を　ここでは　しているので、焼畑を　して　稼がなければならないので、	
33.793	43.2	[hu]juno ai u[ci] sono [ma]ŋemonocjuuwa [o]hacito[ka] seerotoka [be]ɴtoo [ma]ŋebe[ɴ]toocjuu	huju=no # uci sono maŋemono=cju-u=wa o-haci=toka seero=toka beɴtoo maŋebeɴtoo=cju-u	冬=GEN # 内 FIL 曲げ物=QT.言う-NPST=TOP POL-鉢=MUL 蒸篭=MUL 弁当 曲げ弁当=QT.言う-NPST	冬の　（アイ）　内　その　曲げ物というのは　お鉢とか　蒸篭とか　弁当　曲げ弁当という	
43.86	45.39	[so]no koto[do]odoo[jo.	sono koto=doo=doo=jo	その 事=COP.NPST=COP.NPST=SFP	その　ことなんだよ。	
46.057	56.447	[so]site [hu]juzju[u] sorjoo [ma]ŋemonoo kosjai[te] hajakawa[cjoo]o cjoo[o] zuuQto [u]Qte ariQ[to]odooQcje.	sosite huju-zjuu sorjoo maŋemono=o kosjai-te hajakawacjoo=o cjoo=o zuuQto uQ-te ariQ-too=doo=Qcje	そして 冬-中 それ.ACC 曲げ物=ACC 作る-SEQ 早川町=ACC 町=ACC ずっと 売る-SEQ 歩く-PST=COP.NPST=HS	そして　冬中　それを　曲げ物を　拵えて　早川町を　町を　ずっと　売って　歩いたのだって。	
57.882	58.834	[so]osicja[a]	soosicjaa	そして	そして	
59.817	66.994	i[ma]de juu [mi]jakoŋaa. [ho]o. [so]koni anoo iQ[tu]mo tomaru ja[do]ŋa aQ[te	ima=de juu mijakoŋaa hoo soko=ni anoo iQtumo tomar-u jado=ŋa aQ-te	今=INS 言う.NPST 都川 保 そこ=DAT FIL いつも 泊る-NPST 宿=NOM 在る-SEQ	今で　言う　都川。保。そこに　あの　いつも　泊まる　宿が　あって	
67.907	70.793	[so]no maŋemonosi[wa] go[he]ecjuu [na]maedoo[jo.	sono maŋemonosi=wa gohee=cju-u namae=doo=jo	その 曲げ物師=TOP 吾平=QT.言う-NPST 名前=COP.NPST=SFP	その　曲げ物師は　吾平という　名前だよ。	
71.26	77.872	go[he]ewa i[tu]demo mi [ho]ono sono [ki]maQto[o] jado[i] tomaQcja[a]	gohee=wa itu=demo # hoo=no sono kimaQ-too jado=i tomaQ-cjaa	吾平=TOP いつ=EXPL # 保=GEN その 決まる-PST 宿=ALL 泊る-SEQ	吾平は　いつも　（ミ）　保の　その　決まった　宿に　泊まって	
77.916	83.4	[so]ositee[te] sono [ma]ŋemonoo moQcja[a] ha]jakawa[cjo]o'o [u]Qte ariQ[to]odooQcje.	soositeete sono maŋemono=o moQ-cjaa hajakawacjoo=o uQ-te ariQ-too=doo=Qcje	そして その 曲げ物=ACC 持つ-SEQ 早川町=ACC 売る-SEQ 歩く-PST=COP.NPST=HS	そして　その　曲物を　持って　早川町を　売って　歩いたのだって。	
84.486	91.357	soreŋa [so]no [ho]ono tomaru jee[ni [uuɴto] jo[i] musume[ŋa] hito[ri] ito[o]dooQcje.	sore=ŋa sono hoo=no tomar-u jee=ni uuɴto jo-i musume=ŋa hitori i-too=doo=Qcje	それ=NOM FIL 保=GEN 泊る-NPST 家=DAT うんと 良い-NPST 娘=NOM 一人 居る-PST=COP.NPST=HS	それが　その　保の　泊まる　家に　とても　良い　娘が　一人　いたのだって。	
91.674	94.383	[so]reŋa [ko]to[zi]Qcjuu [na]maido[o]doo#{ŋa}	sore=ŋa kotozi=Qcjuu namai=doo=dooŋa	それ=NOM 琴路=QT.言う 名前=COP.NPST=ADVS	それが　琴路という　名前なのだが	
95.267	100.329	[so]rja[a] kirjoojosi[no] jo[i] kodaQ[to]odooQcjedoo[jo.	sorjaa kirjoojosi=no jo-i ko=daQ-too=doo=Qcjedoo=jo	それ.TOP 器量良し=GEN 良い-NPST 子=COP-PST=COP.NPST=HS=SFP	それは　器量良しの　良い　娘だったのだそうだよ。	
101.78	108.89	[so]ositai[ba] i[tu]nomani[ka] go[he]eto [ko]tozja[a] otokoto oɴnano na[ka]ni uɴnaQ[te	soositaiba itunomanika gohee=to kotozjaa otoko=to oɴna=no naka=ni uɴ-naQ-te	すると いつの間にか 吾平=COM 琴路.TOP 男=COM 女=GEN 仲=DAT EMPH-成る-SEQ	そうすると　いつの間にか　吾平と　琴路は　男と　女の　仲に　なって	
109.36	113.23	koɴda [ha]narerare[no]o go gu[ni] uɴnaQ[to]odooQcje.	koɴda hanare-rare-noo # gu=ni uɴ-naQ-too=doo=Qcje	今度.TOP 離れる-PASS-NEG.NPST # 具=DAT EMPH-成る-PST=COP.NPST=HS	今度は　離れられない　（ゴ）　具合に　なったのだそうだ。	
114.027	118.269	soreŋa naa[da]no go[hee]wa hi[to]rimusu[ko]doodoode [ho]re	sore=ŋa naada=no gohee=wa hitorimusuko=doo=doode hore	それ=NOM 奈良田=GEN 吾平=TOP 一人息子=COP.NPST=CSL ATTN	それが　奈良田の　吾平は　一人息子なので　ほら	
119.615	122.534	naa[da]no jee[o] tuŋana[i]naa[no]odoode ha[i]	naada=no jee=o tuŋa-nai=naanoo=doode hai	奈良田=GEN 家=ACC 継ぐ-NEG.HYP=OBL=CSL もう	奈良田の　家を　継がなければならないので　もう	
123.013	124.933	[si]ɴrui[sjuno] atubaQ[cjaa]	siɴruisju=no atubaQ-cjaa	親戚=GEN 集まる-SEQ	親類衆が　集まって	
125.14	128.655	go[he]emo ha[i] maa [jo]meo uke[ŋo]rodoo[de	gohee=mo hai maa jome=o uke-ŋoro=doo=de	吾平=ADD もう HDG 嫁=ACC 貰う-頃=COP.NPST=CSL	「吾平も　もう　まあ　嫁を　もらう頃だから	
128.985	134.873	[ano] koŋa jo[i]zjaana[i]ra[ka [kono] koŋa jo[i]zjaana[i]ra[ka]Qcje mura[no] naa[da]no mura[no]	ano ko=ŋa jo-i=zjaa=na-i=ra=ka kono ko=ŋa jo-i=zjaa=na-i=ra=ka=Qcje mura=no naada=no mura=no	あの 子=NOM 良い-NPST=COP.HYP=NEG-NPST=INFR=QP この 子=NOM 良い-NPST=COP.HYP=NEG-NPST=INFR=QP=QT 村=GEN 奈良田=GEN 村=GEN	あの　娘が　良いんじゃないだろうか　この　娘が　良いんじゃないだろうか」と　村の　奈良田の　村の	
