開始時間 - 秒.ミリ秒	終了時間 - 秒.ミリ秒	発話　カナ表記	発話　音調付き音素表記	共通語訳	注
1.81	3.4	トリノミジーサン	torinomiziisaɴ	鳥呑み爺さん	話のタイトル。ただし次の発話では「トリノミジー」と呼んでいる。この部分は東京式のアクセントでの発話。
6.31	19.15	コリャーネー　アノ　ムカシカラ　アッタ　ハナシデ　アレダヨ　コノ　トリノイジーッチェ　ヨクネ　コレワ　ムカシッカラ　アルヨーナ　ハナシダヨ。　ワタシカ゜　コドモノ　コロモ　キータモノ。　ウン。	korjaanee ano mukasikara aQta hanaside aredajo kono torinoiziiQcje jokune korewa mukasiQkara arujoona hanasidajo. watasiŋa kodomono koromo kiitamono. uɴ.	これはね　あの　昔から　ある　話で　あれだよ　この　「鳥呑み爺」って　よくね　これは　昔から　あるような　話だよ。私が　子どもの　頃にも　聞いたもの。うん。	収録者に対する説明。東京式アクセントでの発話であり、音調表記は省略する。
21.14	23.9	ムカシムカシナーヨー	[muka]simuka]sina[a]joo	昔々ね	
25.0	31.73	コノ　ナラダノ　ヤマオクニ　オジーサント　オバーサント　クライテ　イトーダケ゜ノーニ。	[ko]no nara[dano] jamao[ku]ni ozi[i]saɴto oba[a]saɴ[to] kuraite ito[o]daŋeno[o]ni.	この　奈良田の　山奥に　お爺さんと　お婆さんと　暮らして　いたのだそうだよ。	
33.04	37.06	アル　オモイデ　サブイ　アサケ゜	a[ru] omoi[de] sabu[i] asaŋe	ある　とても　寒い　朝	
38.2	43.61	オジーサンノ　ミヅクミカードイ　カオー　アライニ　イットードーチテ。	ozi[i]saɴno [mi]dukumikaado[i [ka]oo arai[ni] iQto[o]doocite.	お爺さんが　水汲み場に　顔を　洗いに　行ったのだって。	
44.805	52.19	ソーシタイバ　キッカブタノ　ウエニ　ヒヨンドリカ゜　イチャー　トマッテーテ　サブクテ	[soo]sita[i]ba [ki]Qkabutano ueni [hi]joɴdoriŋa icja[a [to]maQteete sa[bu]kute	そうしたら、切り株の　上に　ひよどりが　一羽　止まっていて　寒くて	
52.595	55.855	ブルッブルト　フレーテ　イトーダケ゜ノーニ。	bu[ru]Qburu[to] hureete ito[o]daŋeno[o]ni.	ぶるぶると　震えて　いたのだそうだよ。	
58.13	65.28	オジーサンワ　カワイケ゜ニ　オモッテ　ソノ　トリオ　コー　シテ　テノ　ウエー　キケテ	ozi[i]saɴwa [ka]waiŋe[ni] omoQ[te [so]no torio ko[o] site teno [u]ee kikete	お爺さんは　かわいそうに　思って　その　鳥を　こう　して　手の　上に　乗せて	キケテ：2拍目の/k/が摩擦化して [kixete] となり、ケーテ keete のように聞こえる。
66.025	71.455	イキョー　ハーアッチェ　コー　イキデ　ヌクメテ　クレルダト　オモッテ	i[kjo]o haa[a]Qcje koo i[ki]de nuku[mete] kureru[da]to omoQ[te]	息を　ハーーッと　こう　息で　温めて　やるんだと　思って	
